"","cowcode","COUNTRY","YEAR","ACTIVITIES_RESTRICT","VISIT_RESTRICT","TRAVEL_RESTRICT","FUNDING_INT","FUNDING_DOM","VISAS_DIFFICULTIES","VISAS_DENIED","HARASS_AMOUNT","ARREST","SURVEIL","KILLING","COOPT"
"2294",840,"Philippines",2006,1,0,0,0,0,1,1,1,0,0,0,0
"2295",840,"Philippines",2007,1,0,0,0,0,1,0,1,0,0,0,0
"2296",840,"Philippines",2008,1,0,0,0,0,0,0,1,0,0,0,0
"2297",840,"Philippines",2009,1,0,0,0,0,0,0,1,0,0,0,0
"2298",840,"Philippines",2010,1,0,0,0,0,0,0,1,0,0,0,0
"2299",840,"Philippines",2011,1,0,0,0,0,0,0,1,0,0,1,0
"2300",840,"Philippines",2012,1,0,0,0,0,0,0,1,0,0,1,NA
"2301",840,"Philippines",2013,1,0,0,0,0,0,0,1,0,0,0,0
"2302",840,"Philippines",2014,1,0,0,0,0,0,0,1,0,0,0,0
"2303",290,"Poland",1994,0,0,0,0,0,0,0,0,0,0,0,0
"2304",290,"Poland",1995,1,0,0,0,0,0,0,0,0,0,0,0
"2305",290,"Poland",1996,1,0,0,0,0,0,0,0,0,0,0,0
"2306",290,"Poland",1997,0,0,0,0,0,0,0,0,0,0,0,0
"2307",290,"Poland",1998,0,0,0,0,0,0,0,0,0,0,0,0
"2308",290,"Poland",1999,0,0,0,0,0,0,0,0,0,0,0,0
"2309",290,"Poland",2000,0,0,0,0,0,0,0,0,0,0,0,0
"2310",290,"Poland",2001,0,0,0,0,0,0,0,0,0,0,0,0
"2311",290,"Poland",2002,0,0,0,0,0,0,0,0,0,0,0,0
"2312",290,"Poland",2003,0,0,0,0,0,0,0,0,0,0,0,0
"2313",290,"Poland",2004,0,0,0,0,0,0,0,0,0,0,0,0
"2314",290,"Poland",2005,0,0,0,0,0,0,0,0,0,0,0,0
"2315",290,"Poland",2006,0,0,0,0,0,0,0,0,0,0,0,0
"2316",290,"Poland",2007,0,0,0,0,0,0,0,0,0,0,0,0
"2317",290,"Poland",2008,0,0,0,0,0,0,0,0,0,0,0,0
"2318",290,"Poland",2009,0,0,0,0,0,0,0,0,0,0,0,0
"2319",290,"Poland",2010,0,0,0,0,0,0,0,0,0,0,0,0
"2320",290,"Poland",2011,0,0,0,0,0,0,0,0,0,0,0,0
"2321",290,"Poland",2012,0,0,0,0,0,0,0,0,0,0,0,0
"2322",290,"Poland",2013,0,0,0,0,0,0,0,0,0,0,0,0
"2323",290,"Poland",2014,0,0,0,0,0,0,0,0,0,0,0,0
"2324",694,"Qatar",1994,0,0,0,0,0,0,0,0,0,0,0,0
"2325",694,"Qatar",1995,0,0,0,0,0,0,0,0,0,0,0,0
"2326",694,"Qatar",1996,0,0,0,0,0,0,0,0,0,0,0,0
"2327",694,"Qatar",1997,0,0,0,0,0,0,0,0,0,0,0,0
"2328",694,"Qatar",1998,0,0,0,0,0,0,0,0,0,0,0,0
"2329",694,"Qatar",1999,0,0,0,0,0,0,0,0,0,0,0,0
"2330",694,"Qatar",2000,1,0,0,0,0,0,0,0,0,0,0,0
"2331",694,"Qatar",2001,1,0,0,0,0,0,0,0,0,0,0,0
"2332",694,"Qatar",2002,1,0,0,0,0,0,0,0,0,0,0,0
"2333",694,"Qatar",2003,1,0,0,0,0,0,0,0,0,0,0,0
"2334",694,"Qatar",2004,1,0,0,0,0,0,0,0,0,0,0,0
"2335",694,"Qatar",2005,0,0,0,0,0,0,0,0,0,0,0,0
"2336",694,"Qatar",2006,1,0,0,0,0,0,0,0,0,0,0,0
"2337",694,"Qatar",2007,1,0,0,0,0,0,0,0,0,0,0,0
"2338",694,"Qatar",2008,1,0,0,0,0,0,0,0,0,0,0,0
"2339",694,"Qatar",2009,1,0,0,0,0,1,1,0,0,0,0,0
"2340",694,"Qatar",2010,1,0,0,0,0,1,1,0,0,0,0,1
"2341",694,"Qatar",2011,1,0,0,0,0,0,0,0,0,0,0,1
"2342",694,"Qatar",2012,1,0,0,0,0,0,0,0,0,0,0,1
"2343",694,"Qatar",2013,1,0,0,0,0,0,0,0,0,0,0,1
"2344",694,"Qatar",2014,1,0,0,0,0,1,0,0,1,0,0,0
"2345",360,"Romania",1994,0,0,0,0,0,0,0,0,0,0,0,0
"2346",360,"Romania",1995,1,0,0,0,0,0,0,0,0,0,0,0
